p1_xyzE,pmup_xyzE,pmum_xyzE,p3_xyzE
"[0.10907920413408645, -1.230488069539805, 5.006328618719529, 5.241152520834373]","[0.8016864071009037, 2.2629615145052213, 17.73713853402966, 17.8991883307536]","[0.2322039359844862, 0.13802439240942707, -0.0050825277568364545, 0.29010144060152143]","[-1.1429695472194743, -1.1704978373748385, 6.293035003644822, 6.569557707810567]"
"[-1.3141845455660395, 0.5324611206238243, 4.566443864867894, 4.872715852761601]","[-0.5909513975320331, -0.7082550805471957, 4.532547719990224, 4.62666199979192]","[3.1251546921001956, 0.047796024888480004, 15.337846876198553, 15.653420927076251]","[-1.2200187490020986, 0.12799793503488488, 4.594581167580449, 4.847201220370242]"
"[-1.608399796548826, -0.45107736653623115, 3.353251238267065, 3.8620032248903113]","[1.0512254615998942, -1.1916643436852563, 6.63164548349072, 6.820192395438238]","[-0.649707005118964, 1.066303055268636, 12.79883984919008, 12.86003835516659]","[1.2068813400679583, 0.5764386549528321, 6.247683057689257, 6.457766024504871]"
"[1.1504619147451516, -0.6982439469442244, 4.924298661627842, 5.190392940964785]","[0.7590776205742722, 1.4452775208065574, 4.269611790981471, 4.572283281343956]","[-1.5268691477897713, 0.7976050428938173, 14.208353123659558, 14.312790269492954]","[-0.3826703875296505, -1.5446386167561577, 5.629156052368188, 5.92453350819825]"
"[0.4525661065907701, -0.4152136204847085, 7.110134871274093, 7.1980268591581815]","[1.4452711324454204, 0.652271739582351, 18.495657465794388, 18.56380283706702]","[-0.39502868872614627, 0.41969115219540143, 0.5969945900852244, 0.8365132884197521]","[-1.5028085503100572, -0.6567492712930568, 2.828632701483464, 3.4016570153551067]"
"[-1.3110179247143094, -0.4509302509306774, 9.812282233692116, 9.954061636826474]","[0.27657984139692626, -1.7205482698635703, 10.551566436560467, 10.695022236335511]","[1.1418369879749688, 0.37109219232546414, 1.6405043986373145, 2.0356619113263985]","[-0.10739890465758228, 1.8003863284687804, 7.02706655974721, 7.315254215511612]"
"[0.40210295109389754, -1.3236387350531722, 4.617090381910643, 4.9103547962369625]","[-0.40871123503310947, 1.081973796692283, 5.544607856114403, 5.664940605286216]","[0.5026318924894224, -1.7730468957305296, 4.319963734586476, 4.697827625074541]","[-0.496023608550209, 2.0147118340914068, 14.549757656025587, 14.72687697340228]"
"[-0.01885087526778468, -1.9897107979101931, 6.385393162584826, 6.753732642145957]","[1.2703650372994701, 0.19869274570018336, 3.9949987529280935, 4.198152544161276]","[-1.487402262321205, 0.06976705940827621, 12.478361050911266, 12.567334286251798]","[0.2358881002895271, 1.7212509928017246, 6.172666662212863, 6.480780527440903]"
"[-0.9304097408585639, -1.508619225088307, 6.28421992566835, 6.596466377716303]","[1.0198182674301657, -0.09108314070970426, 7.813191547037157, 7.88070118712559]","[-0.5819815559330759, 2.6185768554387714, 8.127595793979603, 8.559475701382931]","[0.49257302936147335, -1.0188744896407667, 6.806412361951971, 6.9633567337751465]"
"[-0.20781533699734495, -0.15553459110391477, 2.0465620292651523, 2.2663072847553307]","[-2.0815801884241147, 1.6879581779100055, 11.43507600473098, 11.745395086507363]","[0.5155367456844568, -0.34848940620830504, 9.249210884198167, 9.27072211835325]","[1.773858779737011, -1.1839341805977919, 6.300570710442845, 6.717575510384091]"
"[0.21799064552734249, -0.12237296146439072, 7.553440532977717, 7.615596712960166]","[-1.9779659354626884, -0.07866255270007616, 17.30915415596582, 17.42229945348779]","[0.521097909618847, 0.7808991511893308, 2.1557987505351255, 2.353715866775376]","[1.238877380316491, -0.5798636370248599, 2.013026189158456, 2.608387966776675]"
"[-0.692917515864144, 0.2113943606898881, 9.275882332467894, 9.351319139634626]","[0.8139114348974307, -0.07558660426705455, 1.3662412311808017, 1.5956014143086783]","[-1.1410590093863537, -0.8562561928810639, 16.665712735319698, 16.726994198597374]","[1.0200650903530584, 0.7204484364582069, 1.7235833296687417, 2.326085247459355]"
"[-0.5284450425597932, 1.1495759321998718, 5.126368366480826, 5.362908349183167]","[0.9415490794124124, -0.32422191675351664, 11.41771227305045, 11.461542290781662]","[-0.2519882628203731, -2.3470891443294244, 6.129823355805981, 6.569491877031037]","[-0.1611157740322509, 1.5217351288830887, 6.357515633299762, 6.606057483004044]"
"[0.4454132478892366, -1.0384185367626542, 1.8224230381332278, 2.3405738815064705]","[0.7968893809219726, 1.898816673257154, 8.32795561368425, 8.579425724401638]","[-1.4835265317055872, -0.05488331664075946, 10.238111851392375, 10.345721871542114]","[0.24122390289436824, -0.8055148198537152, 8.64292912542732, 8.734278522549841]"
"[-1.7785776211153166, -0.8867890425389997, 14.626359972510887, 14.790554200291215]","[-0.611856622960759, -0.41199502038803487, 0.791611167064067, 1.087161568797396]","[2.278087587825955, 0.3312916349543175, 10.050141224772094, 10.310962101376617]","[0.11234665625012075, 0.9674924279727171, 3.563307264290055, 3.811322129534763]"
"[-1.6781132042374005, 0.17917377830760614, 16.149788752230457, 16.264814731706057]","[-0.8519895249235978, 0.5089039784782938, 2.4119996056593647, 2.6103208845955126]","[2.3721321782568974, -0.5731374613539133, 4.919053960694789, 5.492153776244809]","[0.15797055090410125, -0.11494029543198672, 5.550577310052497, 5.632710607453622]"
"[-1.6349048251811251, 1.6876313823243334, 9.140650243189704, 9.48434787870597]","[-0.10021723830918387, -0.05138179290617269, 8.765007961988276, 8.766368220088548]","[1.6126401155990813, -0.8427027275429689, 2.8573244874845463, 3.389133055692945]","[0.12248194789124023, -0.7935468618751995, 8.268436935974604, 8.360150845512555]"
"[0.6444886642102168, -1.3306288287217838, 4.708438895545916, 5.023513700309238]","[-0.4498233100856926, -0.3269780453869786, 0.6953592953472157, 0.8966291401975024]","[-0.6971789093110062, 2.517854383637795, 20.498003260682204, 20.664098103152106]","[0.5025135551864919, -0.8602475095290515, 3.1296181770617437, 3.415759056341119]"
"[0.35126705509576084, 0.1469761208862812, 4.734158749017417, 4.841239916693716]","[0.9122741708391539, 0.5496505607266764, 5.828791262571994, 5.9262408909263105]","[-0.2621868669052141, -2.7474455707401786, 11.887571892001944, 12.20420944665553]","[-1.001354359029703, 2.050818889127228, 6.580897725045724, 7.028309745724416]"
"[-0.33029869814912843, 0.3119215269119563, 0.5768981566304721, 1.1914520964175335]","[0.7890825063842952, -0.8542416915894151, 3.288919200909248, 3.4900620614259568]","[-1.3188928440060261, 0.26172614868729993, 16.547528265876377, 16.602404471455895]","[0.8601090357708674, 0.28059401599016776, 8.618074005220944, 8.716081370700547]"
"[1.637662810849971, -1.5020927494428744, 11.493989158136978, 11.744375812418651]","[0.6714203005956648, 0.4366328386554555, 1.2905778381838064, 1.5225663286765148]","[-2.3617513730796036, 1.2262740231503337, 14.503881582090603, 14.746367759159124]","[0.05266826163397532, -0.16081411236292237, 1.742971050225655, 1.9866900997456396]"
"[-0.7785576172562731, 0.5749355686664666, 12.346303192247285, 12.419672287640488]","[0.4998385793870575, -0.5353748758345079, 6.1846029931610165, 6.228719182873689]","[0.7418372597622531, 1.11902809501218, 0.8880008873838258, 1.6131508256690132]","[-0.4631182218930362, -1.158588787844138, 9.612512555844983, 9.738457703816808]"
"[-0.7647036042532254, 1.672490009681835, 4.122859566640456, 4.610891430847851]","[-0.7131353172309294, 0.5009009270831011, 4.412351339497416, 4.498830034082573]","[1.8408562567475955, -2.01195498798593, 10.752031519814011, 11.092973453845737]","[-0.36301733526343566, -0.1614359487790125, 9.744177202685222, 9.797305081223834]"
"[-0.5659996912176736, 0.285181213468963, 7.092231864617265, 7.182046445300296]","[-1.261489109708241, -0.14311869133351499, 15.930895850497286, 15.981753469068316]","[1.2684990581291156, -0.6159642773911562, 5.220442035363953, 5.4085747206685975]","[0.5589897427967989, 0.4739017552557272, 0.7878498781585055, 1.4276253649626902]"
"[-0.6084952144133547, -0.567846408409659, 3.0956208736452395, 3.3400507344709336]","[0.041127659225781654, 2.362466571049755, 9.28131595948934, 9.577939722952765]","[1.6726950662019973, -0.30873433308504483, 8.331359863309128, 8.503878318617]","[-1.1053275110144196, -1.4858858295550454, 8.32312293219339, 8.578131223959291]"
"[-0.08601110229504724, 1.2259227078628918, 5.742773054020844, 5.947275098004446]","[2.1026588185053474, -1.6338926483970475, 6.0518662854948575, 6.6126415632481965]","[-0.9321689134207022, 0.024752962086530994, 3.510425814362141, 3.6337039785023895]","[-1.0844788027896004, 0.3832169784476283, 13.726354474759255, 13.806379360244957]"
"[1.5254633943363098, 0.9667346710323539, 13.053011913318684, 13.210718710458547]","[-1.8273538725370535, -1.4197301556204345, 4.479249254603961, 5.042786272299108]","[0.02143238828778557, 1.131920446636232, 4.222516636042935, 4.372929635770993]","[0.28045808991295706, -0.6789249620481518, 7.276641824671527, 7.373565381471346]"
"[-0.026074585114528544, -0.3605954747340658, 6.991992082725536, 7.063923598912163]","[-2.1962834045423323, -1.4286946781560055, 5.566779735030614, 6.1534567121066885]","[0.7078630746930807, 0.08897232726244364, 4.712694674778668, 4.767561317716183]","[1.5144949149637832, 1.7003178256276306, 11.75995313610229, 12.015058371264963]"
"[-0.020963359958823837, 0.7387306523721024, 3.0916930900064132, 3.3143751972268136]","[-1.0905009003088413, 0.4032322686598881, 2.6037181683628665, 2.8534716380735006]","[0.45997530941896847, 0.8055433900067417, 18.1741902941953, 18.19815468395203]","[0.6514889508487103, -1.9475063110387578, 5.161818076072521, 5.6339984807476435]"
"[-0.1872676212620312, 1.3697389066929708, 13.23362608861848, 13.338683129673232]","[-1.0312767910147749, -0.43239504553108243, 4.72026941841662, 4.852072164600268]","[1.4631730448254077, 0.11495166302519466, 1.4153267757294377, 2.041666657169235]","[-0.244628632548603, -1.0522955241870822, 9.662197345872563, 9.767578048557256]"
"[-0.4888514070687954, 0.7578652420309593, 4.698523298324184, 4.875429309727601]","[-0.9502468744727524, 0.16668116709893802, 9.551955364634226, 9.601133611966835]","[0.4877587292362382, -2.5475049517553474, 9.217119079724842, 9.575705603241774]","[0.9513395523053086, 1.622958542625447, 5.563821885953827, 5.9477314750637635]"
"[1.09206928081953, 1.0359967369126415, 10.040325297276134, 10.19580261549381]","[-0.9014919765382441, -0.31031791689915467, 8.002118493090808, 8.059407483415972]","[-0.7391903857055243, -0.6920666106106172, 0.39009618498168197, 1.0902739409629176]","[0.5486130814242343, -0.033612209402872684, 10.598879653288492, 10.654515960127306]"
"[-0.8007260373399873, 0.8648736176480379, 2.1356292230052905, 2.613510108171761]","[1.4939773897837816, 0.7887255463625441, 21.496873488854764, 21.563413223269194]","[-0.32866908819506113, -0.7634734092852121, 2.0469575574917815, 2.211812349942301]","[-0.3645822642487971, -0.8901257547253714, 3.351959359285129, 3.6112643186165925]"
"[1.8302484545924866, -1.097802195063537, 9.644898131108194, 9.922670677315802]","[-0.7405040395496166, -0.53105048735393, 9.737460456535919, 9.78057567877642]","[-1.507061226021309, 1.9918981189859615, 6.463985293045296, 6.930596016005156]","[0.4173168109784295, -0.36304543656848803, 3.1850757479477254, 3.366157627902645]"
